,ID,Group,Feature_1,Feature_2,Feature_3
141,ID141,A,3003,389,7064
142,ID142,A,2837,385,6586
143,ID143,A,2953,355,7084
144,ID144,B,2454,396,4908
145,ID145,C,2846,404,-2442
146,ID146,C,2506,396,-2110
147,ID147,C,3301,399,-2902
148,ID148,A,2907,398,6731
149,ID149,C,2485,388,-2097
150,ID150,B,2575,402,5150
151,ID151,C,2887,408,-2479
152,ID152,C,2310,389,-1921
153,ID153,B,2576,428,5152
154,ID154,B,2630,400,5260
155,ID155,C,2579,412,-2167
156,ID156,A,2829,375,6612
157,ID157,B,2814,401,5628
158,ID158,C,2985,415,-2570
159,ID159,C,2752,403,-2349
160,ID160,A,2560,416,5600
161,ID161,B,2696,383,5392
162,ID162,A,2850,412,6490
163,ID163,C,1876,404,-1472
164,ID164,A,2628,434,5714
165,ID165,B,2818,407,5636
166,ID166,B,2668,395,5336
167,ID167,A,2275,377,4940
168,ID168,A,1969,401,3902
169,ID169,B,2648,428,5296
170,ID170,A,2792,397,6391
171,ID171,C,2269,403,-1866
172,ID172,A,2784,382,6442
173,ID173,C,2659,424,-2235
174,ID174,A,2358,424,4954
175,ID175,B,2902,376,5804
176,ID176,B,2940,395,5880
177,ID177,B,2531,403,5062
178,ID178,A,2222,382,4756
179,ID179,A,1941,415,3748
180,ID180,A,2360,418,4990
181,ID181,A,1980,373,4075
182,ID182,C,2832,400,-2432
183,ID183,B,2553,410,5106
184,ID184,A,2519,383,5642
185,ID185,A,2557,385,5746
186,ID186,A,1951,406,3823
187,ID187,A,2485,402,5445
188,ID188,A,1799,420,3297
189,ID189,A,2807,408,6381
190,ID190,B,2084,396,4168
191,ID191,C,2342,396,-1946
192,ID192,A,2206,396,4638
193,ID193,C,2642,409,-2233
194,ID194,C,2162,377,-1785
195,ID195,C,2606,415,-2191
196,ID196,A,2411,412,5173
197,ID197,C,3092,384,-2708
198,ID198,B,2831,397,5662
199,ID199,B,2376,401,4752
200,ID200,C,2801,399,-2402
201,ID201,A,2504,400,5512
202,ID202,C,2954,388,-2566
203,ID203,C,2789,400,-2389
204,ID204,B,2708,394,5416
205,ID205,A,2676,407,5993
206,ID206,C,1882,397,-1485
207,ID207,B,2201,409,4402
208,ID208,B,2187,404,4374
209,ID209,B,1922,377,3844
210,ID210,C,2724,385,-2339
211,ID211,A,2784,392,6392
212,ID212,B,2330,406,4660
213,ID213,B,2320,389,4640
214,ID214,C,2656,397,-2259
215,ID215,B,2758,393,5516
216,ID216,B,2077,396,4154
217,ID217,A,2184,401,4547
218,ID218,A,2366,401,5093
219,ID219,A,2439,417,5232
220,ID220,B,2534,401,5068
221,ID221,B,2152,397,4304
222,ID222,C,2854,400,-2454
223,ID223,B,2244,404,4488
224,ID224,A,1982,412,3886
225,ID225,C,2473,406,-2067
226,ID226,C,2418,412,-2006
227,ID227,B,1748,405,3496
228,ID228,C,2669,409,-2260
229,ID229,B,2204,387,4408
230,ID230,C,2395,389,-2006
231,ID231,A,2386,411,5103
232,ID232,B,2337,412,4674
233,ID233,B,2895,411,5790
234,ID234,B,2410,379,4820
235,ID235,C,2522,401,-2121
236,ID236,A,2163,405,4464
237,ID237,A,2551,418,5563
238,ID238,A,2529,412,5527
239,ID239,B,2545,385,5090
240,ID240,B,2449,390,4898
241,ID241,B,2599,422,5198
242,ID242,C,1988,372,-1616
243,ID243,A,2030,372,4230
244,ID244,C,3003,374,-2629
245,ID245,B,2553,407,5106
246,ID246,A,3189,415,7492
247,ID247,A,2588,374,5894
248,ID248,A,2155,409,4420
249,ID249,B,2077,389,4154
250,ID250,C,2652,362,-2290
251,ID251,A,2615,397,5860
252,ID252,B,2907,391,5814
253,ID253,C,2606,406,-2200
254,ID254,C,2146,436,-1710
255,ID255,C,2522,424,-2098
256,ID256,B,2599,396,5198
257,ID257,B,2550,401,5100
258,ID258,B,3511,411,7022
259,ID259,A,2438,366,5484
260,ID260,B,2813,381,5626
261,ID261,B,2605,385,5210
262,ID262,A,2525,423,5460
263,ID263,A,2507,386,5591
264,ID264,A,2481,400,5443
265,ID265,A,2173,408,4479
266,ID266,B,2878,394,5756
267,ID267,A,2110,401,4325
268,ID268,A,2602,384,5886
269,ID269,B,3031,406,6062
270,ID270,C,2127,377,-1750
271,ID271,C,2757,408,-2349
272,ID272,C,3401,395,-3006
273,ID273,C,2277,385,-1892
274,ID274,B,2150,406,4300
275,ID275,B,2312,381,4624
276,ID276,B,2517,399,5034
277,ID277,C,2053,407,-1646
278,ID278,A,2151,383,4538
279,ID279,C,2132,415,-1717
280,ID280,C,2545,398,-2147
281,ID281,C,2245,392,-1853
282,ID282,A,1592,405,2751
283,ID283,B,2756,366,5512
284,ID284,A,2675,380,6125
285,ID285,C,2683,402,-2281
286,ID286,B,2709,375,5418
287,ID287,A,2504,400,5512
288,ID288,B,2245,397,4490
289,ID289,A,2847,409,6496
290,ID290,B,2564,400,5128
291,ID291,A,3245,383,7820
292,ID292,B,2312,401,4624
293,ID293,C,2260,366,-1894
294,ID294,B,2271,376,4542
295,ID295,C,2950,417,-2533
296,ID296,C,1966,407,-1559
297,ID297,C,1845,395,-1450
298,ID298,A,2596,389,5843
299,ID299,B,2612,384,5224
300,ID300,C,2286,409,-1877
301,ID301,A,2698,394,6124
302,ID302,A,2720,373,6295
303,ID303,B,2091,407,4182
304,ID304,B,2118,416,4236
305,ID305,A,2306,378,5028
306,ID306,B,2156,417,4312
307,ID307,A,2226,390,4728
308,ID308,B,1808,388,3616
309,ID309,B,2677,396,5354
310,ID310,A,3158,422,7364
311,ID311,C,2222,392,-1830
312,ID312,B,2867,419,5734
313,ID313,B,3001,393,6002
314,ID314,B,2286,363,4572
315,ID315,C,2647,411,-2236
316,ID316,A,2043,422,4019
317,ID317,A,2801,421,6298
318,ID318,C,2907,391,-2516
319,ID319,A,2172,392,4556
320,ID320,B,2755,390,5510
321,ID321,C,2380,430,-1950
322,ID322,C,1797,411,-1386
323,ID323,B,2430,413,4860
324,ID324,A,2578,423,5619
325,ID325,A,2191,389,4628
326,ID326,C,2937,384,-2553
327,ID327,A,2165,397,4510
328,ID328,B,2302,392,4604
329,ID329,B,1930,399,3860
330,ID330,C,2702,405,-2297
331,ID331,A,2646,389,5993
332,ID332,B,2517,408,5034
333,ID333,B,3034,406,6068
334,ID334,B,2310,375,4620
335,ID335,C,2547,402,-2145
336,ID336,B,2538,389,5076
337,ID337,B,2479,376,4958
338,ID338,B,2344,418,4688
339,ID339,C,2848,427,-2421
340,ID340,C,3180,369,-2811
341,ID341,A,2488,414,5394
342,ID342,C,2481,381,-2100
343,ID343,C,2318,398,-1920
344,ID344,A,2322,366,5136
345,ID345,B,3051,394,6102
346,ID346,B,2662,377,5324
347,ID347,A,2318,407,4919
348,ID348,C,2327,402,-1925
349,ID349,A,2660,373,6115
350,ID350,B,3123,405,6246
351,ID351,A,2949,381,6942
352,ID352,B,2812,416,5624
353,ID353,C,2962,409,-2553
354,ID354,C,2685,401,-2284
355,ID355,A,2235,391,4750
356,ID356,B,2159,399,4318
357,ID357,B,2519,396,5038
358,ID358,C,2310,420,-1890
359,ID359,B,2092,377,4184
360,ID360,C,2549,390,-2159
361,ID361,A,2858,414,6504
362,ID362,A,2477,413,5366
363,ID363,C,2787,380,-2407
364,ID364,A,2779,397,6352
365,ID365,C,1996,415,-1581
366,ID366,B,2060,412,4120
367,ID367,B,2373,395,4746
368,ID368,C,2221,367,-1854
369,ID369,B,1913,394,3826
370,ID370,A,3157,408,7431
371,ID371,B,2109,381,4218
372,ID372,C,2567,394,-2173
373,ID373,C,2984,366,-2618
374,ID374,A,2469,391,5452
375,ID375,A,2332,382,5086
376,ID376,B,2717,402,5434
377,ID377,C,2613,401,-2212
378,ID378,B,2154,435,4308
379,ID379,A,2696,421,5983
380,ID380,B,2941,394,5882
381,ID381,A,2174,406,4492
382,ID382,A,2947,412,6781
383,ID383,B,2316,427,4632
384,ID384,A,2365,377,5210
385,ID385,A,2678,386,6104
386,ID386,C,2518,397,-2121
387,ID387,A,2483,384,5529
388,ID388,A,2998,397,7009
389,ID389,B,1995,400,3990
390,ID390,B,2648,403,5296
391,ID391,B,2055,393,4110
392,ID392,A,2341,399,5028
393,ID393,C,2412,395,-2017
394,ID394,C,2133,423,-1710
395,ID395,A,2816,416,6368
396,ID396,C,2727,414,-2313
397,ID397,A,2744,410,6182
398,ID398,C,2121,417,-1704
399,ID399,B,2870,400,5740
400,ID400,B,2070,403,4140
401,ID401,B,2315,419,4630
402,ID402,C,2634,404,-2230
403,ID403,C,2229,423,-1806
404,ID404,B,2340,389,4680
405,ID405,C,1969,388,-1581
406,ID406,A,1870,393,3645
407,ID407,C,2632,377,-2255
408,ID408,C,2558,419,-2139
409,ID409,B,1940,391,3880
410,ID410,A,2452,415,5281
411,ID411,B,2628,391,5256
412,ID412,B,3204,404,6408
413,ID413,A,2734,368,6362
414,ID414,B,2717,400,5434
415,ID415,C,2512,391,-2121
416,ID416,A,2619,407,5822
417,ID417,B,2744,389,5488
418,ID418,A,2238,426,4584
419,ID419,A,2393,400,5179
420,ID420,B,3182,436,6364
421,ID421,C,2280,402,-1878
422,ID422,B,2389,378,4778
423,ID423,A,2545,409,5590
424,ID424,B,2341,384,4682
425,ID425,C,2300,418,-1882
426,ID426,A,2580,413,5675
427,ID427,B,2143,416,4286
428,ID428,B,3059,402,6118
429,ID429,B,1928,407,3856
430,ID430,B,2817,393,5634
431,ID431,C,2726,417,-2309
432,ID432,C,2853,398,-2455
433,ID433,A,1947,402,3831
434,ID434,A,2139,383,4502
435,ID435,C,2462,393,-2069
436,ID436,C,2546,402,-2144
437,ID437,B,2607,419,5214
438,ID438,B,2617,440,5234
439,ID439,C,3471,387,-3084
440,ID440,B,2528,400,5056
441,ID441,B,2696,376,5392
442,ID442,B,3019,417,6038
443,ID443,C,2086,377,-1709
444,ID444,C,2461,400,-2061
445,ID445,B,2671,417,5342
446,ID446,C,2761,384,-2377
447,ID447,C,2690,422,-2268
448,ID448,C,2459,397,-2062
449,ID449,C,2703,387,-2316
450,ID450,B,2380,413,4760
451,ID451,A,2758,378,6384
452,ID452,C,2654,401,-2253
453,ID453,B,2795,389,5590
454,ID454,A,2262,407,4751
455,ID455,B,2624,378,5248
456,ID456,A,2353,377,5174
457,ID457,C,2262,386,-1876
458,ID458,C,2601,401,-2200
459,ID459,C,2400,397,-2003
460,ID460,C,2339,404,-1935
461,ID461,C,2131,389,-1742
462,ID462,C,2118,372,-1746
463,ID463,C,2475,403,-2072
464,ID464,C,2228,401,-1827
465,ID465,C,2470,384,-2086
466,ID466,A,2320,414,4890
467,ID467,C,2828,408,-2420
468,ID468,B,2552,408,5104
469,ID469,A,2183,409,4504
470,ID470,C,2757,400,-2357
471,ID471,A,2535,405,5580
472,ID472,B,2608,402,5216
473,ID473,A,2583,400,5749
474,ID474,A,2401,383,5288
475,ID475,B,2283,419,4566
476,ID476,B,2371,379,4742
477,ID477,C,2103,383,-1720
478,ID478,B,2691,407,5382
479,ID479,C,2452,380,-2072
480,ID480,C,2238,363,-1875
481,ID481,C,2731,415,-2316
482,ID482,B,2412,405,4824
483,ID483,B,2066,395,4132
484,ID484,B,2325,426,4650
485,ID485,A,2098,422,4184
486,ID486,B,2740,384,5480
487,ID487,B,2580,399,5160
488,ID488,C,2358,422,-1936
489,ID489,C,2730,414,-2316
490,ID490,C,2253,387,-1866
491,ID491,B,2411,406,4822
492,ID492,C,2389,424,-1965
493,ID493,C,2361,398,-1963
494,ID494,A,2725,378,6285
495,ID495,C,2605,381,-2224
496,ID496,B,2396,400,4792
497,ID497,B,2581,404,5162
498,ID498,C,2418,389,-2029
499,ID499,C,2733,378,-2355
500,ID500,B,2893,381,5786
501,ID501,B,2712,407,5424
502,ID502,B,2252,396,4504
503,ID503,B,2157,396,4314
504,ID504,A,2451,377,5468
505,ID505,C,2361,378,-1983
506,ID506,B,2260,387,4520
507,ID507,C,2449,382,-2067
508,ID508,B,2331,399,4662
509,ID509,C,2275,415,-1860
510,ID510,A,2668,410,5954
511,ID511,A,2802,402,6396
512,ID512,B,2171,399,4342
513,ID513,C,2380,388,-1992
514,ID514,C,2165,412,-1753
515,ID515,B,2564,395,5128
516,ID516,C,2398,407,-1991
517,ID517,A,2338,410,4964
518,ID518,C,2959,425,-2534
519,ID519,B,3157,395,6314
520,ID520,C,2888,389,-2499
521,ID521,A,2294,412,4822
522,ID522,B,2497,376,4994
523,ID523,C,2453,401,-2052
524,ID524,A,2101,403,4288
525,ID525,B,2476,382,4952
526,ID526,C,2663,389,-2274
527,ID527,B,2452,397,4904
528,ID528,C,2950,377,-2573
529,ID529,B,2953,397,5906
530,ID530,C,2460,421,-2039
531,ID531,C,2999,375,-2624
532,ID532,C,2633,396,-2237
533,ID533,B,2560,392,5120
534,ID534,C,2294,400,-1894
535,ID535,C,2515,397,-2118
536,ID536,A,2324,415,4897
537,ID537,B,2617,376,5234
538,ID538,A,2183,387,4614
539,ID539,C,2612,398,-2214
540,ID540,C,2578,386,-2192
541,ID541,A,2953,405,6834
542,ID542,C,2422,408,-2014
543,ID543,A,2269,396,4827
544,ID544,A,2871,393,6648
545,ID545,A,2422,396,5286
546,ID546,A,2590,410,5720
547,ID547,A,2394,382,5272
548,ID548,C,2306,428,-1878
549,ID549,C,2103,397,-1706
550,ID550,B,2134,396,4268
551,ID551,C,2360,406,-1954
552,ID552,A,3099,400,7297
553,ID553,C,2379,384,-1995
554,ID554,A,2834,403,6487
555,ID555,A,2432,408,5256
556,ID556,C,2875,405,-2470
557,ID557,A,2780,394,6370
558,ID558,A,2668,411,5949
559,ID559,A,2397,386,5261
560,ID560,B,2609,413,5218
561,ID561,C,2419,417,-2002
562,ID562,C,2396,426,-1970
563,ID563,A,2860,413,6515
564,ID564,C,2391,433,-1958
565,ID565,B,2351,376,4702
566,ID566,B,2729,380,5458
567,ID567,C,2397,401,-1996
568,ID568,B,2606,410,5212
569,ID569,B,2432,437,4864
570,ID570,B,2549,387,5098
571,ID571,C,2368,413,-1955
572,ID572,C,2740,381,-2359
573,ID573,B,2591,407,5182
574,ID574,C,2264,398,-1866
575,ID575,B,1672,390,3344
576,ID576,C,2163,410,-1753
577,ID577,A,2259,403,4762
578,ID578,A,2865,379,6700
579,ID579,C,2505,412,-2093
580,ID580,B,2338,399,4676
581,ID581,C,2957,397,-2560
582,ID582,A,2563,404,5669
583,ID583,A,2715,428,6005
584,ID584,B,2536,419,5072
585,ID585,A,2121,391,4408
586,ID586,B,2052,379,4104
587,ID587,A,2125,390,4425
588,ID588,B,2192,410,4384
589,ID589,C,1881,416,-1465
590,ID590,B,3116,401,6232
591,ID591,C,2508,399,-2109
592,ID592,B,2972,411,5944
593,ID593,B,2810,387,5620
594,ID594,C,2359,424,-1935
595,ID595,A,2508,394,5554
596,ID596,C,2897,384,-2513
597,ID597,B,3159,421,6318
598,ID598,B,2560,411,5120
599,ID599,B,1989,407,3978
600,ID600,C,2456,400,-2056
601,ID601,A,2412,401,5231
602,ID602,C,2628,395,-2233
603,ID603,B,2414,427,4828
604,ID604,B,2397,379,4794
605,ID605,B,3252,386,6504
606,ID606,B,2967,399,5934
607,ID607,B,2532,410,5064
608,ID608,B,1860,436,3720
609,ID609,C,2669,418,-2251
610,ID610,A,2498,386,5564
611,ID611,A,2123,387,4434
612,ID612,C,2123,395,-1728
613,ID613,B,2325,423,4650
614,ID614,B,2759,385,5518
615,ID615,C,1906,392,-1514
616,ID616,A,2256,389,4823
617,ID617,B,3011,393,6022
618,ID618,B,2619,376,5238
619,ID619,A,2019,396,4077
620,ID620,A,2807,387,6486
621,ID621,C,2496,380,-2116
622,ID622,B,2089,387,4178
623,ID623,B,2652,396,5304
624,ID624,A,2596,377,5903
625,ID625,B,2807,418,5614
626,ID626,A,1890,385,3745
627,ID627,C,2640,399,-2241
628,ID628,B,2853,380,5706
629,ID629,C,2364,381,-1983
630,ID630,C,2616,394,-2222
631,ID631,A,2712,412,6076
632,ID632,C,2573,407,-2166
633,ID633,B,2611,386,5222
634,ID634,B,2081,407,4162
635,ID635,C,1979,384,-1595
636,ID636,A,2634,410,5852
637,ID637,B,2436,403,4872
638,ID638,A,2622,412,5806
639,ID639,C,2340,420,-1920
640,ID640,B,2918,422,5836
641,ID641,C,2306,394,-1912
642,ID642,B,2435,401,4870
643,ID643,C,2362,420,-1942
644,ID644,B,2174,408,4348
645,ID645,C,2647,396,-2251
646,ID646,B,2537,409,5074
647,ID647,A,2457,389,5426
648,ID648,A,2740,416,6140
649,ID649,B,2415,424,4830
650,ID650,C,2220,402,-1818
651,ID651,C,2762,391,-2371
652,ID652,B,2275,407,4550
653,ID653,C,2428,387,-2041
654,ID654,B,2643,361,5286
655,ID655,B,2356,427,4712
656,ID656,B,2175,389,4350
657,ID657,B,2267,371,4534
658,ID658,C,2363,404,-1959
659,ID659,B,2489,419,4978
660,ID660,C,2727,413,-2314
661,ID661,A,2275,395,4850
662,ID662,B,2570,394,5140
663,ID663,C,3045,398,-2647
664,ID664,B,2004,400,4008
665,ID665,C,2525,402,-2123
666,ID666,C,1807,406,-1401
667,ID667,A,2086,382,4348
668,ID668,C,2658,391,-2267
669,ID669,C,2878,428,-2450
670,ID670,C,1975,417,-1558
671,ID671,B,2691,404,5382
672,ID672,B,2598,401,5196
673,ID673,C,2406,395,-2011
674,ID674,B,2357,396,4714
675,ID675,C,2597,390,-2207
676,ID676,B,2489,364,4978
677,ID677,B,2700,392,5400
678,ID678,B,2327,406,4654
679,ID679,C,2375,386,-1989
680,ID680,B,2737,417,5474
681,ID681,C,2672,412,-2260
682,ID682,C,2403,399,-2004
683,ID683,C,2712,407,-2305
684,ID684,A,2600,407,5765
685,ID685,A,2627,411,5826
686,ID686,C,2423,400,-2023
687,ID687,B,2180,385,4360
688,ID688,B,2492,407,4984
689,ID689,A,2582,396,5766
690,ID690,C,2215,383,-1832
691,ID691,B,2754,394,5508
692,ID692,B,2443,396,4886
693,ID693,A,2762,374,6416
694,ID694,A,2783,421,6244
695,ID695,C,2426,388,-2038
696,ID696,B,2249,393,4498
697,ID697,C,2329,397,-1932
698,ID698,C,1968,386,-1582
699,ID699,B,2303,394,4606
700,ID700,B,3222,424,6444
701,ID701,C,2562,397,-2165
702,ID702,B,2531,381,5062
703,ID703,C,1920,429,-1491
704,ID704,C,2660,391,-2269
705,ID705,B,2173,397,4346
706,ID706,C,2119,390,-1729
707,ID707,A,2672,392,6056
708,ID708,C,2262,386,-1876
709,ID709,C,2623,408,-2215
710,ID710,C,2706,392,-2314
711,ID711,B,2194,412,4388
712,ID712,A,2499,415,5422
713,ID713,C,2427,407,-2020
714,ID714,B,2559,393,5118
715,ID715,B,2280,409,4560
716,ID716,A,2683,379,6154
717,ID717,B,2422,411,4844
718,ID718,C,2739,423,-2316
719,ID719,B,2241,397,4482
720,ID720,A,2139,389,4472
721,ID721,C,2740,395,-2345
722,ID722,B,2692,403,5384
723,ID723,C,2698,365,-2333
724,ID724,A,2617,417,5766
725,ID725,C,2174,383,-1791
726,ID726,C,3270,381,-2889
727,ID727,A,2457,430,5221
728,ID728,B,2529,387,5058
729,ID729,B,2582,392,5164
730,ID730,C,2410,398,-2012
731,ID731,C,2628,396,-2232
732,ID732,C,2458,387,-2071
733,ID733,B,2426,405,4852
734,ID734,B,2859,383,5718
735,ID735,B,2400,396,4800
736,ID736,B,2816,412,5632
737,ID737,B,2230,389,4460
738,ID738,C,2920,386,-2534
739,ID739,A,2564,407,5657
740,ID740,B,2681,399,5362
741,ID741,B,2578,379,5156
742,ID742,B,2832,379,5664
743,ID743,B,1860,393,3720
744,ID744,B,2401,377,4802
745,ID745,A,2065,381,4290
746,ID746,A,2729,394,6217
747,ID747,A,2869,396,6627
748,ID748,A,3216,387,7713
749,ID749,C,2441,416,-2025
750,ID750,A,2418,377,5369
751,ID751,C,2450,387,-2063
752,ID752,B,2359,385,4718
753,ID753,C,2413,398,-2015
754,ID754,B,2604,377,5208
755,ID755,C,2384,389,-1995
756,ID756,B,1821,413,3642
757,ID757,A,1944,387,3897
758,ID758,C,2863,386,-2477
759,ID759,B,3120,392,6240
760,ID760,C,2264,391,-1873
761,ID761,B,2721,400,5442
762,ID762,C,2743,411,-2332
763,ID763,A,2285,405,4830
764,ID764,A,2177,442,4321
765,ID765,C,2362,411,-1951
766,ID766,B,2382,409,4764
767,ID767,A,2519,415,5482
768,ID768,C,2481,389,-2092
769,ID769,A,2838,396,6534
770,ID770,B,2563,401,5126
771,ID771,B,1771,386,3542
772,ID772,C,2861,410,-2451
773,ID773,A,2358,403,5059
774,ID774,B,3138,379,6276
775,ID775,B,2120,425,4240
776,ID776,A,2144,404,4412
777,ID777,B,2697,377,5394
778,ID778,A,3347,424,7921
779,ID779,B,3056,391,6112
780,ID780,A,2474,414,5352
781,ID781,C,2925,392,-2533
782,ID782,B,2309,416,4618
783,ID783,C,2693,424,-2269
784,ID784,B,2733,407,5466
785,ID785,A,2056,411,4113
786,ID786,C,2514,391,-2123
787,ID787,C,2726,413,-2313
788,ID788,A,2470,413,5345
789,ID789,C,2647,376,-2271
790,ID790,B,2631,426,5262
791,ID791,C,2381,382,-1999
792,ID792,B,1976,410,3952
793,ID793,B,2734,420,5468
794,ID794,C,2738,377,-2361
795,ID795,A,2840,410,6470
796,ID796,C,2866,378,-2488
797,ID797,C,2273,395,-1878
798,ID798,B,2239,377,4478
799,ID799,A,2402,411,5151
